DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1FIPS,ADM1FIPSNA,ADM1SALBNA,ADM1SALBCO,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,ID_0,ISO,NAME_0,ID_1,NAME_1,TYPE_1,ENGTYPE_1,NL_NAME_1,VARNAME_1
CI201200000079,CI,2012.000000,79.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,1.000000,Centre,GPS,U,6.650154,-4.170074,9999.000000,199.000000,WGS84,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,Région,Region,,
CI201200000080,CI,2012.000000,80.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,2.000000,Centre-Est,GAZ,U,6.072718,-3.409583,9999.000000,114.000000,WGS84,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,Région,Region,,Comoé central
CI201200000081,CI,2012.000000,81.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,9.000000,Sud sans Abidjan,GPS,U,5.814222,-5.364984,9999.000000,162.000000,WGS84,57,CIV,Côte d'Ivoire,15,Sud-Bandama,Région,Region,,
CI201200000082,CI,2012.000000,82.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,6.000000,Nord-Est,GPS,R,9.667820,-3.085975,9999.000000,339.000000,WGS84,57,CIV,Côte d'Ivoire,19,Zanzan,Région,Region,,
CI201200000083,CI,2012.000000,83.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,1.000000,Centre,GPS,U,6.821975,-5.269694,9999.000000,202.000000,WGS84,57,CIV,Côte d'Ivoire,8,Lacs,Région,Region,,
CI201200000084,CI,2012.000000,84.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,7.000000,Nord-Ouest,GPS,U,8.283615,-7.678488,9999.000000,481.000000,WGS84,57,CIV,Côte d'Ivoire,2,Bafing,Région,Region,,
CI201200000085,CI,2012.000000,85.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,5.000000,Nord,GPS,R,9.380362,-5.680655,9999.000000,372.000000,WGS84,57,CIV,Côte d'Ivoire,14,Savanes,Région,Region,,
CI201200000086,CI,2012.000000,86.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,2.000000,Centre-Est,GPS,U,7.134544,-3.198646,9999.000000,239.000000,WGS84,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,Région,Region,,Comoé central
CI201200000087,CI,2012.000000,87.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,6.000000,Nord-Est,GPS,R,7.969318,-2.977894,9999.000000,289.000000,WGS84,57,CIV,Côte d'Ivoire,19,Zanzan,Région,Region,,
CI201200000088,CI,2012.000000,88.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,1.000000,Centre,GPS,R,6.637517,-4.296798,9999.000000,163.000000,WGS84,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,Région,Region,,
