CT,field_2,field_3,O_Area_km2,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,TYPE_3,ENGTYPE_3,NL_NAME_3,VARNAME_3,P_Area_km2
1101,-7.68257,8.28643,471.0204,57,CIV,Côte d'Ivoire,2,Bafing,3,Touba,14,Ouaninou,Sous-préfecture,Sub-prefecture,,,61.13172
1101,-7.68257,8.28643,471.0204,57,CIV,Côte d'Ivoire,2,Bafing,3,Touba,15,Touba,Sous-préfecture,Sub-prefecture,,,325.9128
334,-6.84128,7.13352,274.55109,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,17,Vavoua,61,Vavoua,Sous-préfecture,Sub-prefecture,,,274.55109
58,-3.22969,6.96491,205.03188,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,29,Agnibilékrou,94,Agnibilekro,Sous-préfecture,Sub-prefecture,,,205.03188
401,-3.34959,6.36495,152.63898,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,28,Abengourou,91,Abengourou,Sous-préfecture,Sub-prefecture,,,152.63898
1052,-5.17608,9.05753,1875.35707,57,CIV,Côte d'Ivoire,14,Savanes,36,Korhogo,124,Napieoledougou,Sous-préfecture,Sub-prefecture,,,20.97075
1052,-5.17608,9.05753,1875.35707,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,44,Katiola,158,Tafiere,Sous-préfecture,Sub-prefecture,,,679.43179
1052,-5.17608,9.05753,1875.35707,57,CIV,Côte d'Ivoire,14,Savanes,35,Ferkessédougou,114,Kong,Sous-préfecture,Sub-prefecture,,,23.29133
1052,-5.17608,9.05753,1875.35707,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,43,Dabakala,152,Foumbolo,Sous-préfecture,Sub-prefecture,,,190.14544
1052,-5.17608,9.05753,1875.35707,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,44,Katiola,157,Niakarmadougou,Sous-préfecture,Sub-prefecture,,,961.51776
538,-6.82948,6.55712,371.68184,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,6,Soubré,20,Buyo,Sous-préfecture,Sub-prefecture,,,16.89828
538,-6.82948,6.55712,371.68184,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,16,Issia,59,Issia,Sous-préfecture,Sub-prefecture,,,354.78356
906,-4.87866,7.43084,274.13103,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,42,Bouaké,148,Djebonoua,Sous-préfecture,Sub-prefecture,,,16.17244
906,-4.87866,7.43084,274.13103,57,CIV,Côte d'Ivoire,8,Lacs,19,Yamoussoukro,64,Didievi,Sous-préfecture,Sub-prefecture,,,106.43464
906,-4.87866,7.43084,274.13103,57,CIV,Côte d'Ivoire,8,Lacs,19,Yamoussoukro,65,Tie-N'diekro,Sous-préfecture,Sub-prefecture,,,151.52395
259,-3.81509,5.2964,104.63091,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,12.70108
259,-3.81509,5.2964,104.63091,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,69,Alepe,Sous-préfecture,Sub-prefecture,,,0.8175
259,-3.81509,5.2964,104.63091,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,71,Bingerville,Sous-préfecture,Sub-prefecture,,,74.26384
259,-3.81509,5.2964,104.63091,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,74,Grand-Bassam,Sous-préfecture,Sub-prefecture,,,16.84847
