ID_2,DHSCLUST,O_Area_km2,P_Area_km2,Proportion
18,7,615,131,0.21300813008130082
18,31,1470,1306,0.8884353741496599
18,61,226,62,0.2743362831858407
18,124,1107,86,0.07768744354110207
18,272,1764,17,0.00963718820861678
18,263,1693,30,0.01772002362669817
18,126,1460,943,0.6458904109589041
18,17,1423,27,0.018973998594518624
18,16,2013,54,0.026825633383010434
18,299,495,159,0.3212121212121212
19,349,853,838,0.9824150058616647
19,258,1626,515,0.3167281672816728
19,61,226,165,0.7300884955752213
19,124,1107,131,0.11833785004516711
19,161,206,17,0.0825242718446602
19,263,1693,880,0.5197873597164796
19,98,3,3,1.0
19,134,107,107,1.0
19,267,778,8,0.010282776349614395
19,64,371,324,0.8733153638814016
19,322,543,7,0.01289134438305709
19,152,1292,1267,0.9806501547987616
19,205,1817,88,0.048431480462300495
19,175,1197,910,0.7602339181286549
19,89,659,34,0.051593323216995446
19,299,495,336,0.6787878787878788
19,112,562,91,0.1619217081850534
19,254,1575,50,0.031746031746031744
19,83,135,135,1.0
20,232,2003,32,0.01597603594608088
20,302,5,5,1.0
20,114,14,14,1.0
20,276,2,2,1.0
20,344,4,4,1.0
20,238,1125,673,0.5982222222222222
20,97,26,26,1.0
20,260,21,21,1.0
20,55,1,1,1.0
20,313,3,3,1.0
20,228,4,4,1.0
20,337,10,10,1.0
20,136,16,16,1.0
20,116,32,32,1.0
20,21,10,10,1.0
20,224,156,156,1.0
20,194,6,6,1.0
20,110,1414,828,0.5855728429985856
20,75,687,687,1.0
20,156,9,9,1.0
20,76,3,3,1.0
20,237,2,2,1.0
20,252,4,4,1.0
20,158,1387,1387,1.0
20,160,18,18,1.0
20,261,1046,85,0.08126195028680688
20,288,10,10,1.0
20,217,26,26,1.0
20,305,1439,688,0.47810979847116053
20,102,381,381,1.0
20,269,231,231,1.0
20,179,1652,1435,0.8686440677966102
20,264,39,39,1.0
20,284,46,46,1.0
20,329,10,10,1.0
20,203,866,385,0.4445727482678984
20,241,1761,6,0.0034071550255536627
20,151,18,18,1.0
20,171,427,424,0.9929742388758782
20,335,8,8,1.0
20,142,7,7,1.0
20,286,103,103,1.0
20,231,2,2,1.0
20,63,3,3,1.0
20,230,1182,0,0.0
20,303,204,204,1.0
20,221,19,19,1.0
20,19,27,27,1.0
20,311,2,2,1.0
20,80,1123,79,0.07034728406055209
20,67,249,249,1.0
20,58,3,3,1.0
20,277,5,5,1.0
20,93,9,9,1.0
20,239,16,16,1.0
20,9,11,11,1.0
20,210,4,4,1.0
20,165,3,3,1.0
20,317,9,9,1.0
20,71,106,106,1.0
20,1,1542,0,0.0
21,232,2003,908,0.45332001997004495
21,238,1125,452,0.4017777777777778
21,110,1414,2,0.0014144271570014145
21,168,1706,681,0.399179366940211
21,229,630,125,0.1984126984126984
22,232,2003,387,0.19321018472291562
22,31,1470,44,0.029931972789115645
22,110,1414,295,0.20862800565770862
22,272,1764,26,0.01473922902494331
22,126,1460,484,0.3315068493150685
22,17,1423,247,0.1735769501054111
22,16,2013,1686,0.8375558867362146
22,230,1182,406,0.34348561759729274
23,32,631,1,0.001584786053882726
23,349,853,16,0.01875732708089097
23,73,773,502,0.6494178525226391
23,332,1151,1011,0.8783666377063423
23,64,371,10,0.026954177897574125
23,96,1060,23,0.02169811320754717
23,187,1316,139,0.10562310030395136
23,205,1817,1722,0.9477160154100165
23,175,1197,22,0.018379281537176273
23,89,659,407,0.6176024279210925
23,254,1575,279,0.17714285714285713
24,32,631,93,0.1473851030110935
24,69,679,3,0.004418262150220913
24,73,773,133,0.17205692108667528
24,124,1107,274,0.24751580849141824
24,64,371,36,0.09703504043126684
24,96,1060,901,0.85
24,205,1817,7,0.003852504127682994
24,89,659,218,0.330804248861912
25,33,1557,283,0.1817597944765575
25,187,1316,1068,0.8115501519756839
25,265,1483,255,0.17194875252865813
25,316,996,124,0.12449799196787148
25,182,2091,392,0.1874701099952176
25,205,1817,0,0.0
25,319,955,865,0.9057591623036649
25,254,1575,312,0.1980952380952381
26,235,611,569,0.9312602291325696
26,220,1938,694,0.35810113519091846
26,22,1033,5,0.00484027105517909
26,36,2043,369,0.18061674008810572
26,148,911,903,0.991218441273326
26,8,1145,241,0.21048034934497817
26,130,1671,173,0.10353081986834231
26,40,734,80,0.10899182561307902
27,226,1764,1764,1.0
27,300,435,412,0.9471264367816092
27,235,611,10,0.016366612111292964
27,297,1223,512,0.4186426819296811
27,326,2110,1155,0.54739336492891
27,220,1938,771,0.3978328173374613
27,8,1145,495,0.43231441048034935
27,40,734,654,0.8910081743869209
27,57,2165,293,0.1353348729792148
27,27,2150,264,0.12279069767441861
27,212,1382,1382,1.0
27,271,631,139,0.2202852614896989
27,47,2433,2433,1.0
27,2,1002,1002,1.0
28,251,3,3,1.0
28,245,340,261,0.7676470588235295
28,306,813,397,0.4883148831488315
28,146,313,313,1.0
28,26,245,245,1.0
28,137,32,32,1.0
28,115,353,148,0.4192634560906516
28,183,1,1,1.0
28,213,207,195,0.9420289855072463
28,65,368,368,1.0
28,43,323,177,0.5479876160990712
28,90,267,221,0.8277153558052435
28,147,693,373,0.5382395382395382
28,223,712,298,0.41853932584269665
28,42,532,131,0.2462406015037594
28,200,134,134,1.0
28,80,1123,315,0.2804986642920748
28,312,338,26,0.07692307692307693
28,285,164,164,1.0
28,141,155,155,1.0
28,340,347,347,1.0
28,343,4,4,1.0
28,56,468,319,0.6816239316239316
28,293,1,1,1.0
28,184,321,321,1.0
28,1,1542,168,0.10894941634241245
29,99,263,200,0.7604562737642585
29,213,207,12,0.057971014492753624
29,23,362,301,0.8314917127071824
29,43,323,147,0.4551083591331269
29,154,741,268,0.3616734143049933
29,86,1,1,1.0
29,227,343,0,0.0
29,42,532,350,0.6578947368421053
29,192,1950,11,0.0056410256410256415
29,341,209,209,1.0
29,333,37,26,0.7027027027027027
29,312,338,311,0.9201183431952663
29,350,92,53,0.5760869565217391
30,7,615,119,0.19349593495934958
30,253,931,931,1.0
30,306,813,156,0.1918819188191882
30,211,1020,153,0.15
30,126,1460,11,0.007534246575342466
30,17,1423,1107,0.7779339423752635
30,338,578,79,0.13667820069204153
30,15,1429,482,0.3372988103568929
30,147,693,184,0.26551226551226553
30,248,1452,265,0.1825068870523416
30,79,1041,921,0.8847262247838616
30,88,1403,1117,0.7961511047754811
31,306,813,259,0.31857318573185733
31,266,1933,326,0.16864976720124158
31,154,741,161,0.21727395411605938
31,256,1531,74,0.048334421946440234
31,248,1452,920,0.6336088154269972
31,42,532,52,0.09774436090225563
31,192,1950,1384,0.7097435897435898
31,295,1178,632,0.5365025466893039
32,7,615,365,0.5934959349593496
32,31,1470,91,0.06190476190476191
32,211,1020,866,0.8490196078431372
32,258,1626,472,0.2902829028290283
32,263,1693,784,0.4630832841110455
32,266,1933,1607,0.8313502327987584
32,17,1423,7,0.004919184820801124
32,248,1452,264,0.18181818181818182
32,79,1041,22,0.021133525456292025
32,88,1403,286,0.20384889522451888
32,295,1178,184,0.15619694397283532
33,6,1621,1490,0.919185687847008
33,258,1626,277,0.17035670356703567
33,209,1974,920,0.46605876393110435
33,256,1531,409,0.26714565643370347
33,248,1452,3,0.002066115702479339
33,192,1950,555,0.2846153846153846
33,202,1513,1186,0.7838730998017185
33,295,1178,362,0.3073005093378608
34,52,1927,2,0.0010378827192527244
34,153,2665,248,0.09305816135084428
34,328,2185,2185,1.0
34,144,2228,1367,0.6135547576301615
34,198,2942,2114,0.7185588035350102
34,118,1992,722,0.36244979919678716
34,190,2539,0,0.0
34,309,1914,40,0.02089864158829676
34,162,2360,1001,0.42415254237288136
34,244,2328,266,0.11426116838487972
35,290,359,359,1.0
35,101,3500,1445,0.41285714285714287
35,132,1891,1344,0.710735060814384
35,120,1287,1129,0.8772338772338772
35,307,483,429,0.8881987577639752
35,173,442,8,0.01809954751131222
35,109,2517,75,0.029797377830750895
35,250,2985,2985,1.0
35,59,1764,21,0.011904761904761904
35,262,4072,131,0.032170923379174855
35,157,423,1,0.002364066193853428
