DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1FIPS,ADM1FIPSNA,ADM1SALBNA,ADM1SALBCO,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,VARNAME_3,NL_NAME_3,HASC_3,TYPE_3,ENGTYPE_3,VALIDFR_3,VALIDTO_3,REMARKS_3,Shape_Leng,Shape_Area
SN201200000036,SN,2012.00000000000,36.00000000000,SG,SG09,Fatick,NULL,NULL,9.00000000000,Fatick,3.00000000000,Centre,CEN,R,14.38810377800,-16.19884594700,9999.00000000000,27.00000000000,WGS84,194,SEN,Senegal,2633,Fatick,31083,Fatick,92473,Diakhao,,,,Arrondissment,Arrondissement,Unknown,Present,,1.13948452075,0.04694097019
SN201200000037,SN,2012.00000000000,37.00000000000,SG,SG09,Fatick,NULL,NULL,9.00000000000,Fatick,3.00000000000,Centre,CEN,R,14.13241508700,-16.72050968400,9999.00000000000,12.00000000000,WGS84,194,SEN,Senegal,2633,Fatick,31083,Fatick,92474,Fimela,,,,Arrondissment,Arrondissement,Unknown,Present,,1.62416825582,0.09089407776
SN201200000038,SN,2012.00000000000,38.00000000000,SG,SG09,Fatick,NULL,NULL,9.00000000000,Fatick,3.00000000000,Centre,CEN,R,14.55194749100,-16.48103352900,9999.00000000000,10.00000000000,WGS84,194,SEN,Senegal,2633,Fatick,31083,Fatick,92475,Niakhar,,,,Arrondissment,Arrondissement,Unknown,Present,,0.86785617235,0.03159216424
SN201200000039,SN,2012.00000000000,39.00000000000,SG,SG09,Fatick,NULL,NULL,9.00000000000,Fatick,3.00000000000,Centre,CEN,R,14.50822316000,-16.33244975800,9999.00000000000,15.00000000000,WGS84,194,SEN,Senegal,2633,Fatick,31083,Fatick,92475,Niakhar,,,,Arrondissment,Arrondissement,Unknown,Present,,0.86785617235,0.03159216424
SN201200000040,SN,2012.00000000000,40.00000000000,SG,SG09,Fatick,NULL,NULL,9.00000000000,Fatick,3.00000000000,Centre,CEN,R,14.44751427300,-16.60292364500,9999.00000000000,2.00000000000,WGS84,194,SEN,Senegal,2633,Fatick,31083,Fatick,92476,Tattaguine,,,,Arrondissment,Arrondissement,Unknown,Present,,1.05966419182,0.05049732868
SN201200000041,SN,2012.00000000000,41.00000000000,SG,SG09,Fatick,NULL,NULL,9.00000000000,Fatick,3.00000000000,Centre,CEN,U,14.33216632900,-16.40820564300,9999.00000000000,10.00000000000,WGS84,194,SEN,Senegal,2633,Fatick,31083,Fatick,92476,Tattaguine,,,,Arrondissment,Arrondissement,Unknown,Present,,1.05966419182,0.05049732868
SN201200000042,SN,2012.00000000000,42.00000000000,SG,SG09,Fatick,NULL,NULL,9.00000000000,Fatick,3.00000000000,Centre,CEN,U,14.31441688200,-16.40112618100,9999.00000000000,10.00000000000,WGS84,194,SEN,Senegal,2633,Fatick,31083,Fatick,92476,Tattaguine,,,,Arrondissment,Arrondissement,Unknown,Present,,1.05966419182,0.05049732868
SN201200000043,SN,2012.00000000000,43.00000000000,SG,SG09,Fatick,NULL,NULL,9.00000000000,Fatick,3.00000000000,Centre,CEN,R,14.07790635600,-16.43831298000,9999.00000000000,6.00000000000,WGS84,194,SEN,Senegal,2633,Fatick,31084,Foundiougne,92477,Djilor,,,,Arrondissment,Arrondissement,Unknown,Present,,1.52701942881,0.07665304453
SN201200000044,SN,2012.00000000000,44.00000000000,SG,SG09,Fatick,NULL,NULL,9.00000000000,Fatick,3.00000000000,Centre,CEN,R,13.71830930400,-16.34190623700,9999.00000000000,46.00000000000,WGS84,194,SEN,Senegal,2633,Fatick,31084,Foundiougne,92479,Toubacouta,,,,Arrondissment,Arrondissement,Unknown,Present,,3.32619855166,0.12052849423
SN201200000045,SN,2012.00000000000,45.00000000000,SG,SG09,Fatick,NULL,NULL,9.00000000000,Fatick,3.00000000000,Centre,CEN,R,13.83930137500,-16.32645599700,9999.00000000000,13.00000000000,WGS84,194,SEN,Senegal,2633,Fatick,31084,Foundiougne,92479,Toubacouta,,,,Arrondissment,Arrondissement,Unknown,Present,,3.32619855166,0.12052849423
SN201200000046,SN,2012.00000000000,46.00000000000,SG,SG09,Fatick,NULL,NULL,9.00000000000,Fatick,3.00000000000,Centre,CEN,U,13.87502969600,-16.36995131700,9999.00000000000,10.00000000000,WGS84,194,SEN,Senegal,2633,Fatick,31084,Foundiougne,92477,Djilor,,,,Arrondissment,Arrondissement,Unknown,Present,,1.52701942881,0.07665304453
SN201200000047,SN,2012.00000000000,47.00000000000,SG,SG09,Fatick,NULL,NULL,9.00000000000,Fatick,3.00000000000,Centre,CEN,R,14.64801369600,-15.71247780300,9999.00000000000,30.00000000000,WGS84,194,SEN,Senegal,2633,Fatick,31085,Gossas,92480,Colobane,,,,Arrondissment,Arrondissement,Unknown,Present,,1.72510064998,0.13369635412
SN201200000048,SN,2012.00000000000,48.00000000000,SG,SG09,Fatick,NULL,NULL,9.00000000000,Fatick,3.00000000000,Centre,CEN,R,14.45670156000,-16.01491591200,9999.00000000000,28.00000000000,WGS84,194,SEN,Senegal,2633,Fatick,31085,Gossas,92482,Ouadiour,,,,Arrondissment,Arrondissement,Unknown,Present,,1.20437525861,0.05317194498
SN201200000049,SN,2012.00000000000,49.00000000000,SG,SG10,Kaolack,NULL,NULL,6.00000000000,Kaolack,3.00000000000,Centre,CEN,U,14.26513363400,-15.95823196800,9999.00000000000,18.00000000000,WGS84,194,SEN,Senegal,2633,Fatick,31085,Gossas,92481,Kahone,,,,Arrondissment,Arrondissement,Unknown,Present,,1.00189287405,0.05943454497
SN201200000050,SN,2012.00000000000,50.00000000000,SG,SG16,Kaffrine,NULL,NULL,12.00000000000,Kaffrine,3.00000000000,Centre,CEN,R,14.16933736100,-15.70430941100,9999.00000000000,6.00000000000,WGS84,194,SEN,Senegal,2634,Kaolack,31086,Kaffrine,92483,Birkelane,,,,Arrondissment,Arrondissement,Unknown,Present,,1.97229426699,0.11718428792
SN201200000051,SN,2012.00000000000,51.00000000000,SG,SG16,Kaffrine,NULL,NULL,12.00000000000,Kaffrine,3.00000000000,Centre,CEN,R,14.02561079400,-15.64900938800,9999.00000000000,29.00000000000,WGS84,194,SEN,Senegal,2634,Kaolack,31086,Kaffrine,92483,Birkelane,,,,Arrondissment,Arrondissement,Unknown,Present,,1.97229426699,0.11718428792
SN201200000052,SN,2012.00000000000,52.00000000000,SG,SG16,Kaffrine,NULL,NULL,12.00000000000,Kaffrine,3.00000000000,Centre,CEN,R,13.91940830900,-14.72503951300,9999.00000000000,50.00000000000,WGS84,194,SEN,Senegal,2634,Kaolack,31086,Kaffrine,92484,Koungheul,,,,Arrondissment,Arrondissement,Unknown,Present,,2.56327493104,0.36634261837
SN201200000053,SN,2012.00000000000,53.00000000000,SG,SG16,Kaffrine,NULL,NULL,12.00000000000,Kaffrine,3.00000000000,Centre,CEN,R,13.83844725400,-14.84467782900,9999.00000000000,18.00000000000,WGS84,194,SEN,Senegal,2634,Kaolack,31086,Kaffrine,92484,Koungheul,,,,Arrondissment,Arrondissement,Unknown,Present,,2.56327493104,0.36634261837
SN201200000054,SN,2012.00000000000,54.00000000000,SG,SG16,Kaffrine,NULL,NULL,12.00000000000,Kaffrine,3.00000000000,Centre,CEN,R,14.39049458400,-15.45027800000,9999.00000000000,49.00000000000,WGS84,194,SEN,Senegal,2634,Kaolack,31086,Kaffrine,92485,Maleme Hodar,,,,Arrondissment,Arrondissement,Unknown,Present,,2.49882249652,0.35353844531
SN201200000055,SN,2012.00000000000,55.00000000000,SG,SG16,Kaffrine,NULL,NULL,12.00000000000,Kaffrine,3.00000000000,Centre,CEN,R,14.13596392600,-15.57280378900,9999.00000000000,10.00000000000,WGS84,194,SEN,Senegal,2634,Kaolack,31086,Kaffrine,92485,Maleme Hodar,,,,Arrondissment,Arrondissement,Unknown,Present,,2.49882249652,0.35353844531
SN201200000056,SN,2012.00000000000,56.00000000000,SG,SG16,Kaffrine,NULL,NULL,12.00000000000,Kaffrine,3.00000000000,Centre,CEN,U,14.09015822500,-15.28047681100,9999.00000000000,44.00000000000,WGS84,194,SEN,Senegal,2634,Kaolack,31086,Kaffrine,92485,Maleme Hodar,,,,Arrondissment,Arrondissement,Unknown,Present,,2.49882249652,0.35353844531
